x,y
0,0
0,0
0,0E-32
33.4054971585204754092046641744673252105712890625,0E-32
109.5011249638504295944585464894771575927734375,0E-32
109.5011249638504295944585464894771575927734375,0E-32
110.42296437396160968535951951707829721271991729736328125,0E-32
114.83865923828818456087219601613469421863555908203125,0E-32
114.83865923828818456087219601613469421863555908203125,0E-32
135.99201052931091826536658118129707872867584228515625,0E-32
639.69562489826693951755487432819791138172149658203125,0E-32
639.69562489826693951755487432819791138172149658203125,0E-32
803.48003913108743478943551963311620056629180908203125,0E-32
1113.34434069547790802090503348154015839099884033203125,0E-32
1113.34434069547790802090503348154015839099884033203125,0E-32
1297.23715685729848434704081228119321167469024658203125,0E-32
2560.26790793814683144802302194875665009021759033203125,0E-32
2560.26790793814683144802302194875665009021759033203125,0E-32
2837.30577422835613976559443472069688141345977783203125,0E-32
3009.13762036636131558253737239283509552478790283203125,0E-32
3009.13762036636131558253737239283509552478790283203125,0E-32
3046.29677255793609180756220666808076202869415283203125,0E-32
3310.53021805992824244668781830114312469959259033203125,0E-32
3310.53021805992824244668781830114312469959259033203125,0E-32
3326.02967187130665127625661625643260776996612548828125,0E-32
4988.53531090198538056057486755889840424060821533203125,0E-32
4988.53531090198538056057486755889840424060821533203125,0E-32
5046.85469383663305098508544688229449093341827392578125,0E-32
5165.60330098254089836729008311522193253040313720703125,0E-32
5165.60330098254089836729008311522193253040313720703125,0E-32
5272.21724184293895820729858314734883606433868408203125,0E-32
6214.92349921226800990581295991432853043079376220703125,0E-32
6214.92349921226800990581295991432853043079376220703125,0E-32
6462.97487286252046789769565293681807816028594970703125,0E-32
6518.07322605578465601894322389853186905384063720703125,0E-32
6518.07322605578465601894322389853186905384063720703125,0E-32
6624.09691167638252995431003000703640282154083251953125,0E-32
6624.09691167638252995431003000703640282154083251953125,0E-32
6681.58665034077686772917559210327453911304473876953125,0E-32
6709.28521956176501550572766063851304352283477783203125,0E-32
6709.28521956176501550572766063851304352283477783203125,0E-32
6717.07957194633048647602890923735685646533966064453125,0E-32
6806.30575904848029455962432621163316071033477783203125,0E-32
6806.30575904848029455962432621163316071033477783203125,0E-32
6855.52493787600760999367821568739600479602813720703125,0E-32
6882.46990589078761235697356823948211967945098876953125,0E-32
8744.49239173560512217164841786143369972705841064453125,0E-32
8744.49239173560512217164841786143369972705841064453125,0E-32
8958.02318692207542216721094519016332924365997314453125,0E-32
11711.55489947605441347633359328028745949268341064453125,0E-32
11711.55489947605441347633359328028745949268341064453125,0E-32
11800.33425715384597953772072287392802536487579345703125,0E-32
12130.40524368607715377521572008845396339893341064453125,0E-32
12130.40524368607715377521572008845396339893341064453125,0E-32
12248.10074046184228979683439320069737732410430908203125,0E-32
